itemid,count,percentage,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue,type,is_in_extract
224958,8853,0.12097402331206188,Impaired Skin Wound Base #2,Site/Wound Base #2,chartevents,Skin - Impairment,,Text,,,7.0,0
223955,8796,0.1201951326163895,Temporary Pacemaker Type,Temp Pacemaker Type,chartevents,Cardiovascular (Pacer Data),,Text,,,4.0,0
229099,8783,0.12001749087878001,Impaired Fluid Balance NCP - Problem resolved,IFB NCP - Problem resolved,chartevents,Care Plans,,Text,,,2.0,0
228009,8738,0.11940257717167024,16 G Phlebitis Scale,16 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,,5.0,0
223956,8693,0.11878766346456048,Temporary Pacemaker Mode,Temp Pacemaker Mode,chartevents,Cardiovascular (Pacer Data),,Text,,,8.0,0
227455,8687,0.11870567497027917,Vancomycin (Trough),Vancomycin (Trough),chartevents,Labs,None,Numeric with tag,,,,0
228010,8685,0.1186783454721854,16 G Infiltration Scale,16 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,,5.0,0
223967,8652,0.11822740875363824,Angio Site # 1,Angio Site # 1,chartevents,Cardiovascular,,Text,,,6.0,0
228518,8651,0.11821374400459135,Impaired Skin #1- Cleanse,Impaired Skin #1- Cleanse,chartevents,Skin - Impairment,,Text,,,3.0,0
223968,8645,0.11813175551031005,Angio Appearance # 1,Angio Appearance # 1,chartevents,Cardiovascular,,Text,,,4.0,0
228336,8608,0.11762615979557535,CAM-ICU Inattention,CAM-ICU Inattention,chartevents,Pain/Sedation,,Text,,,3.0,0
229098,8607,0.11761249504652847,Impaired Fluid Balance NCP - Plan revised,IFB NCP - Plan revised,chartevents,Care Plans,,Text,,,2.0,0
223970,8596,0.11746218280701275,Angio Dressing # 1,Angio Dressing # 1,chartevents,Cardiovascular,,Text,,,9.0,0
224751,8481,0.11589073666662111,Temporary Pacemaker Rate,Temp Pacemaker Rate,chartevents,Cardiovascular (Pacer Data),bpm,Numeric,,,,0
223961,8456,0.11554911794044902,Temporary Pacemaker Wire Condition,Temp Pacemaker Wire Condition,chartevents,Cardiovascular (Pacer Data),,Text,,,3.0,0
224923,8375,0.11444227326765144,Impaired Skin Odor #2,Odor #2,chartevents,Skin - Impairment,,Checkbox,,,,0
225637,8354,0.11415531353766688,Differential-Atyps,Differential-Atyps,chartevents,Labs,None,Numeric,,,,0
229600,8347,0.1140596602943387,CAUTI Info Given,CAUTI Info Given,chartevents,Restraint/Support Systems,,Text,,,2.0,0
223759,8333,0.11386835380768232,Precautions: Standard +,Precautions: Standard +,chartevents,General,,Text,,,8.0,0
228983,8332,0.11385468905863544,Safety Restraints NCP - Expected outcomes,Safety Restraints NCP - Expected outcomes,chartevents,Care Plans,,Text,,,5.0,0
228988,8291,0.1132944343477132,Safety Restraints NCP - Interventions,Safety Restraints NCP - Interventions,chartevents,Care Plans,,Text,,,24.0,0
225672,8288,0.11325344010057255,Lipase,Lipase,chartevents,Labs,None,Numeric,,,,0
227287,8270,0.11300747461772864,O2 Flow (additional cannula),O2 Flow (additional cannula),chartevents,Respiratory,L/min,Numeric,,,,0
224834,8261,0.1128844918763067,Temporary Ventricular Sens,Temp Ventricular Sens,chartevents,Cardiovascular (Pacer Data),,Text,,,2.0,0
228497,8229,0.11244721990680641,Impaired Skin #2- Location,Impaired Skin #2- Location,chartevents,Skin - Impairment,,Text,,,95.0,0
225082,8195,0.11198261843921237,Pregnant,Pregnant,chartevents,Adm History/FHPA,,Checkbox,,,,0
223962,8185,0.11184597094874353,Temporary Pacemaker Wires Venticular,Temp Pacemaker Wires Venticular,chartevents,Cardiovascular (Pacer Data),None,Numeric,,,,0
223923,8158,0.11147702272447767,Seizure Activity,Seizure Activity,chartevents,Neurological,,Text,,,4.0,0
229383,8139,0.11121739249258687,Extraocular Movements,EOMs,chartevents,Neurological,,Text,,,2.0,0
224835,8127,0.11105341550402427,Temporary Ventricular Capture,Temp Ventricular Capture,chartevents,Cardiovascular (Pacer Data),,Text,,,2.0,0
224042,8118,0.11093043276260231,Incision Dressing #1,Incision Dressing #1,chartevents,Skin - Incisions,,Text,,,9.0,0
229111,8085,0.11047949604405514,Safety Restraints NCP - Problem resolved,Safety Restraints NCP - Problem resolved,chartevents,Care Plans,,Text,,,2.0,0
227454,8042,0.10989191183503914,Vancomycin (Random),Vancomycin (Random),chartevents,Labs,None,Numeric with tag,,,,0
224438,8037,0.10982358808980473,Chest Tube Site # 2,Chest Tube Site # 2,chartevents,Pulmonary,,Text,,,5.0,0
227358,7922,0.1082521419494131,PICC Line Dressing Occlusive,PICC Line Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,,,0
223958,7910,0.1080881649608505,Temporary Venticular Sens Threshold mV,Temp Venticular Sens Threshold mV,chartevents,Cardiovascular (Pacer Data),mV,Numeric,,,,0
224851,7907,0.10804717071370984,Dressing Status #1,Dressing Status #1,chartevents,Skin - Incisions,,Text,,,5.0,0
224839,7899,0.10793785272133477,Temporary Pacemaker Wires Atrial,Temp Pacemaker Wires Atrial,chartevents,Cardiovascular (Pacer Data),None,Numeric,,,,0
224037,7867,0.1075005807518345,Impaired Skin Cleanse #1,Site Cleanse #1,chartevents,Skin - Impairment,,Text,,,5.0,0
224390,7799,0.1065713778166464,Temporary Atrial Sens,Temp Atrial Sens,chartevents,Cardiovascular (Pacer Data),,Text,,,2.0,0
225085,7789,0.10643473032617756,Post menopausal,Post menopausal,chartevents,Adm History/FHPA,,Checkbox,,,,0
229535,7783,0.10635274183189626,Line Type,Line Type,chartevents,Access Lines - Invasive,,Text,,,8.0,0
229110,7757,0.10599745835667727,Safety Restraints NCP - Plan revised,Safety Restraints NCP - Plan revised,chartevents,Care Plans,,Text,,,2.0,0
224866,7702,0.10524589715909867,Temporary Atrial Capture,Temp Atrial Capture,chartevents,Cardiovascular (Pacer Data),,Text,,,2.0,0
223960,7665,0.10474030144436397,Temporary Venticular Stim Threshold mA,Temp Venticular Stim Threshold mA,chartevents,Cardiovascular (Pacer Data),mA,Numeric,,,,0
227801,7659,0.10465831295008267,Stool Guaiac QC,Stool Guaiac QC,chartevents,GI/GU,,Checkbox,,,,0
228530,7446,0.10174772140309643,Impaired Skin #2- Treatment,Impaired Skin #2- Treatment,chartevents,Skin - Impairment,,Text,,,31.0,0
224752,7289,0.09960235580273569,Temporary Atrial Sens Threshold mV,Temp Atrial Sens Threshold mV,chartevents,Cardiovascular (Pacer Data),mV,Numeric,,,,0
225693,7271,0.09935639031989177,Triglyceride,Triglyceride,chartevents,Labs,None,Numeric,,,,0
229244,7261,0.09921974282942293,Humidifier Water Changed,Humidifier Water Changed,chartevents,Respiratory,,Text,,,2.0,0
227780,7204,0.09844085213375056,Impaired Skin  - Dressing Status #1,Impaired Skin  - Dressing Status #1,chartevents,Skin - Impairment,,Text,,,5.0,0
229245,7203,0.09842718738470368,Humidifier Water % Fill Level,Humidifier Water % Fill Level,chartevents,Respiratory,,Text,,,4.0,0
228549,7202,0.0984135226356568,Pressure Ulcer #1- Type,Pressure Ulcer #1- Type,chartevents,Skin - Impairment,,Text,,,1.0,0
228853,7199,0.09837252838851615,Impaired Skin #1- Type,Impaired Skin #1- Type,chartevents,Skin - Impairment,,Text,,,22.0,0
224753,7151,0.09771662043426572,Temporary Atrial Sens Setting mV,Temp Atrial Sens Setting mV,chartevents,Cardiovascular (Pacer Data),mV,Numeric,,,,0
224562,7144,0.09762096719093753,Impaired Skin Length #1,Site Length #1,chartevents,Skin - Impairment,cm,Numeric,,,,0
227809,7110,0.09715636572334349,ETT Position Change,ETT Position Change,chartevents,Respiratory,,Checkbox,,,,0
223762,7057,0.09643213402385865,Temperature Celsius,Temperature C,chartevents,Routine Vital Signs,°C,Numeric,,,,1
227810,7026,0.09600852680340526,ETT Re-taped,ETT Re-taped,chartevents,Respiratory,,Checkbox,,,,0
224755,7014,0.09584454981484265,Temporary Atrial Stim Setting mA,Temp Atrial Stim Setting mA,chartevents,Cardiovascular (Pacer Data),mA,Numeric,,,,0
228506,6994,0.09557125483390498,Pressure Ulcer #1- Location,Pressure Ulcer #1- Location,chartevents,Skin - Impairment,,Text,,,89.0,0
224754,6990,0.09551659583771745,Temporary Atrial Stim Threshold mA,Temp Atrial Stim Threshold mA,chartevents,Cardiovascular (Pacer Data),mA,Numeric,,,,0
229685,6987,0.09547560159057679,Vaulables Checklist,Valuables Checklist,chartevents,Adm History/FHPA,,Checkbox,,,,0
224808,6947,0.09492901162870145,CT #2 Suction Type,CT #2 Suction Type,chartevents,Pulmonary,,Text,,,3.0,0
228640,6944,0.09488801738156079,EtCO2,EtCO2,chartevents,Routine Vital Signs,None,Numeric,,,,0
225674,6941,0.09484702313442013,Mixed Venous O2% Sat,Mixed Venous O2% Sat,chartevents,Labs,%,Numeric,,,,0
224930,6935,0.09476503464013883,Impaired Skin Site #2,Site #2,chartevents,Skin - Impairment,,Text,,,83.0,0
224170,6935,0.09476503464013883,MDI #1 Drug,MDI #1 Drug,chartevents,Respiratory,,Text,,,6.0,0
224427,6871,0.09389049070113828,CT #2 Suction Amount,CT #2 Suction Amount,chartevents,Pulmonary,,Text,,,5.0,0
220061,6811,0.09307060575832525,Pulmonary Artery Pressure mean,PAPm,chartevents,Hemodynamics,mmHg,Numeric,10.0,20.0,,0
224846,6797,0.09287929927166888,Impaired Skin Width #1,Site Width #1,chartevents,Skin - Impairment,cm,Numeric,,,,0
224944,6762,0.09240103305502795,Impaired Skin Type #2,Type #2,chartevents,Skin - Impairment,,Text,,,24.0,0
224425,6687,0.09137617687651166,CT #2 Dressing,CT #2 Dressing,chartevents,Pulmonary,,Text,,,3.0,0
227988,6683,0.09132151788032412,Pronator drift present,Pronator drift present,chartevents,Neurological,,Text,,,3.0,0
224833,6639,0.09072026892226125,SBT Deferred,SBT Deferred,chartevents,Respiratory,,Text,,,4.0,0
220060,6625,0.09052896243560488,Pulmonary Artery Pressure diastolic,PAPd,chartevents,Hemodynamics,mmHg,Numeric,8.0,15.0,,0
220059,6624,0.09051529768655799,Pulmonary Artery Pressure systolic,PAPs,chartevents,Hemodynamics,mmHg,Numeric,15.0,25.0,,1
224424,6606,0.09026933220371408,CT #2 Drainage,CT #2 Drainage,chartevents,Pulmonary,,Text,,,8.0,0
224777,6584,0.08996870772468264,CT #2 Leak,CT #2 Leak,chartevents,Pulmonary,,Text,,,3.0,0
228539,6582,0.08994137822658888,Pressure Ulcer #1- Treatment,Pressure Ulcer #1- Treatment,chartevents,Skin - Impairment,,Text,,,31.0,0
220066,6578,0.08988671923040133,Pulmonary Artery Pressure Alarm - Low,PAP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,,,0
224426,6561,0.08965441849660431,CT #2 Fluctuate,CT #2 Fluctuate,chartevents,Pulmonary,,Text,,,3.0,0
220063,6561,0.08965441849660431,Pulmonary Artery Pressure Alarm - High,PAP Alarm - High,chartevents,Alarms,mmHg,Numeric,,,,0
227241,6552,0.08953143575518235,PAP Alarm Source,PAP Alarm Source,chartevents,Alarms,,Text,,,3.0,0
228813,6469,0.08839726158429101,Pressure ulcer #1- Stage,Pressure ulcer #1- Stage,chartevents,Skin - Impairment,,Text,,,7.0,0
228953,6457,0.0882332845957284,Coping/Knowledge Deficit  NCP - Expected outcomes,CKD NCP - Expected outcomes,chartevents,Care Plans,,Text,,,7.0,0
224413,6451,0.08815129610144709,TOF Response,TOF Response,chartevents,Pain/Sedation,,Text,,,5.0,0
223754,6426,0.08780967737527501,Risk for Falls,Risk for Falls,chartevents,Neurological,,Text,,,2.0,0
226105,6402,0.08748172339814979,Behavior,Behavior,chartevents,Neurological,,Text,,,20.0,0
223903,6377,0.0871401046719777,Communication,Communication,chartevents,Neurological,,Text,,,8.0,0
228957,6351,0.08678482119675872,Coping/Knowledge Deficit  NCP - Interventions,CKD NCP - Interventions,chartevents,Care Plans,,Text,,,16.0,0
223938,6344,0.08668916795343054,Ulnar Pulse R,Ulnar Pulse R,chartevents,Cardiovascular (Pulses),,Text,,,7.0,0
224010,6339,0.08662084420819612,GI #1 Tube Place Check,GI #1 Tube Place Check,chartevents,GI/GU,,Text,,,2.0,0
223910,6322,0.08638854347439909,Follows Commands,Follows Commands,chartevents,Neurological,,Text,,,3.0,0
224423,6283,0.08585561826157062,CT #2 Crepitus,CT #2 Crepitus,chartevents,Pulmonary,,Text,,,3.0,0
224837,6259,0.08552766428444541,Temporary Ventricular Sens Setting mV,Temp Ventricular Sens Setting mV,chartevents,Cardiovascular (Pacer Data),mV,Numeric,,,,0
220581,6253,0.08544567579016411,Amylase,Amylase,chartevents,Labs,None,Numeric,,,,0
229681,6201,0.08473510883972615,Indwelling Urinary Catheter Care,Indwelling Urinary Catheter Care,chartevents,Treatments,,Checkbox,,,,0
228743,6191,0.08459846134925732,Pressure ulcer #1- Surrounding tissue,Pressure ulcer #1- Surrounding tissue,chartevents,Skin - Impairment,,Text,,,7.0,0
224169,6171,0.08432516636831965,MDI #1 Puff,MDI #1 Puff,chartevents,Respiratory,None,Numeric,,,,0
229095,6122,0.08365559366502234,Coping/Knowledge Deficit  NCP - Problem resolved,CKD NCP - Problem resolved,chartevents,Care Plans,,Text,,,2.0,0
229094,6054,0.08272639072983425,Coping/Knowledge Deficit  NCP - Plan revised,CKD NCP - Plan revised,chartevents,Care Plans,,Text,,,2.0,0
224903,6046,0.08261707273745918,Impaired Skin Drainage #3,Site Drainage #3,chartevents,Skin - Impairment,,Text,,,9.0,0
224937,5891,0.0804990366351922,Impaired Skin Treatment #2,Site Treatment #2,chartevents,Skin - Impairment,,Text,,,35.0,0
227539,5875,0.08028040065044205,ART Blood Pressure Alarm Source,ART BP Alarm Source,chartevents,Alarms,,Text,,,3.0,0
224838,5864,0.08013008841092634,Temporary Ventricular Stim Setting mA,Temp Ventricular Stim Setting mA,chartevents,Cardiovascular (Pacer Data),mA,Numeric,,,,0
223802,5758,0.07868162501195665,Nerve Stimulated,Nerve Stimulated,chartevents,Pain/Sedation,,Text,,,4.0,0
228753,5753,0.07861330126672224,Pressure ulcer #1- Drainage,Pressure ulcer #1- Drainage,chartevents,Skin - Impairment,,Text,,,9.0,0
226473,5726,0.07824435304245637,Blood Transfusion Consent,Blood Transfusion Consent,chartevents,General,,Checkbox,,,,0
227537,5721,0.07817602929722196,ART Blood Pressure Alarm - High,ART BP Alarm - High,chartevents,Alarms,mmHg,Numeric,,,,0
227538,5718,0.0781350350500813,ART Blood Pressure Alarm - Low,ART BP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,,,0
223773,5640,0.07706918462442437,PA Line cm Mark,PA Line cm Mark,chartevents,Hemodynamics,cm,Numeric,,,,0
227588,5639,0.0770555198753775,GI #1 Tube Place Method,GI #1 Tube Place Method,chartevents,GI/GU,,Text,,,3.0,0
228803,5561,0.07598966944972056,Pressure ulcer #1- Dressing status,Pressure ulcer #1- Dressing status,chartevents,Skin - Impairment,,Text,,,5.0,0
228911,5466,0.0746915182902666,Altered Skin Integrity NCP - Expected outcomes,ASI NCP - Expected outcomes,chartevents,Care Plans,,Text,,,7.0,0
228914,5354,0.07316106639701563,Altered Skin Integrity NCP - Interventions,ASI NCP - Interventions,chartevents,Care Plans,,Text,,,15.0,0
220245,5327,0.07279211817274976,CO2 production,CO2 production,chartevents,Respiratory,ml/min,Numeric,,,,0
224662,5322,0.07272379442751534,Current Used/mA,Current Used/mA,chartevents,Pain/Sedation,mA,Numeric,,,,0
224101,5296,0.07236851095229636,Chest PT R/L,Chest PT R/L,chartevents,Treatments,,Text,,,3.0,0
228137,5272,0.07204055697517116,CHG Bath,CHG Bath,chartevents,Treatments,,Checkbox,,,,0
224297,5194,0.07097470654951422,Cordis/Introducer Site Appear,Cordis/Introducer Site Appear,chartevents,Access Lines - Invasive,,Text,,,13.0,0
229093,5180,0.07078340006285784,Altered Skin Integrity NCP - Problem resolved,ASI NCP - Problem resolved,chartevents,Care Plans,,Text,,,2.0,0
229092,5179,0.07076973531381096,Altered Skin Integrity NCP - Plan revised,ASI NCP - Plan revised,chartevents,Care Plans,,Text,,,2.0,0
229371,5176,0.0707287410666703,Bladder Scan Estimate,Bladder Scan Estimate,chartevents,GI/GU,mL,Numeric,,,,0
228601,5163,0.07055109932906083,Impaired Skin #2- Dressing Status,Impaired Skin #2- Dressing Status,chartevents,Skin - Impairment,,Text,,,5.0,0
227350,5163,0.07055109932906083,Cordis/Introducer Dressing Occlusive,Cordis/Introducer Dressing Occlusive,chartevents,Access Lines - Invasive,,Checkbox,,,,0
224973,5154,0.07042811658763887,Surrounding Tissue #3,Surrounding Tissue #3,chartevents,Skin - Impairment,,Text,,,7.0,0
228733,5151,0.07038712234049822,Pressure ulcer #1- Wound Base,Pressure ulcer #1- Wound Base,chartevents,Skin - Impairment,,Text,,,6.0,0
224119,5131,0.07011382735956054,22 Gauge Site Appear,22 Gauge Site Appear,chartevents,Access Lines - Peripheral,,Text,,,14.0,0
224006,5113,0.06986786187671663,Emesis Appearance,Emesis Appearance,chartevents,GI/GU,,Text,,,13.0,0
225628,5095,0.06962189639387273,CK-MB fraction (%),CK-MB fraction (%),chartevents,Labs,None,Numeric,,,,0
228565,5068,0.06925294816960686,Incision #1- Cleanse,Incision #1- Cleanse,chartevents,Skin - Incisions,,Text,,,3.0,0
223949,5015,0.06852871647012203,Ulnar Pulse L,Ulnar Pulse L,chartevents,Cardiovascular (Pulses),,Text,,,7.0,0
225744,4992,0.0682144272420437,Multi Lumen Line Discontinued,Multi Lumen Line Discontinued,chartevents,Access Lines - Invasive,,Text,,,3.0,0
228402,4933,0.06740820704827756,Neurological Symptoms,Neurological Symptoms,chartevents,Neurological,,Text,,,10.0,0
225312,4906,0.0670392588240117,ART BP Mean,ART BP Mean,chartevents,Routine Vital Signs,mmHg,Numeric,,,,1
228577,4898,0.06692994083163663,Impaired Skin #2- Type,Impaired Skin #2- Type,chartevents,Skin - Impairment,,Text,,,23.0,0
224910,4897,0.06691627608258974,Impaired Skin Drainage Amount #3,Site Drainage Amount #3,chartevents,Skin - Impairment,,Text,,,7.0,0
224994,4893,0.0668616170864022,Incision Appearance #3,Incision Appearance #3,chartevents,Skin - Incisions,,Text,,,7.0,0
226889,4870,0.06654732785832389,Legal Guardian,Legal Guardian,chartevents,General,,Checkbox,,,,0
226109,4829,0.06598707314740165,Cordis/Introducer placed in outside facility,Cordis/Introducer placed in outside facility,chartevents,Access Lines - Invasive,,Checkbox,,,,0
225309,4821,0.06587775515502657,ART BP Systolic,ART BP Systolic,chartevents,Routine Vital Signs,mmHg,Numeric,,,,1
225310,4801,0.0656044601740889,ART BP Diastolic,ART BP Diastolic,chartevents,Routine Vital Signs,mmHg,Numeric,,,,1
225014,4775,0.06524917669886993,Incision Drainage #3,Incision Drainage #3,chartevents,Skin - Incisions,,Text,,,9.0,0
225237,4729,0.06462059824271327,16 Gauge Site Appear,16 Gauge Site Appear,chartevents,Access Lines - Peripheral,,Text,,,12.0,0
225005,4726,0.06457960399557262,Incision Closure #3,Incision Closure #3,chartevents,Skin - Incisions,,Text,,,9.0,0
225651,4706,0.06430630901463495,Direct Bilirubin,Direct Bilirubin,chartevents,Labs,None,Numeric,,,,1
224025,4706,0.06430630901463495,Spiritual Support,Spiritual Support,chartevents,Restraint/Support Systems,,Text,,,4.0,0
228714,4611,0.06300815785518099,Bladder scanned,Bladder scanned,chartevents,GI/GU,,Text,,,2.0,0
224959,4609,0.06298082835708722,Impaired Skin Wound Base #3,Site/Wound Base #3,chartevents,Skin - Impairment,,Text,,,7.0,0
228763,4608,0.06296716360804033,Pressure ulcer #1- Drainage amount,Pressure ulcer #1- Drainage amount,chartevents,Skin - Impairment,,Text,,,7.0,0
228773,4548,0.06214727866522731,Pressure ulcer #1- Odor,Pressure ulcer #1- Odor,chartevents,Skin - Impairment,,Checkbox,,,,0
225684,4541,0.062051625421899126,Serum Osmolality,Serum Osmolality,chartevents,Labs,None,Numeric,,,,0
228229,4493,0.06139571746764871,PAR-Activity,PAR-Activity,chartevents,Routine Vital Signs,,Text,,,4.0,0
229858,4489,0.06134105847146117,Therapeutic Bed,Therapeutic Bed,chartevents,Treatments,,Text,,,9.0,0
228234,4489,0.06134105847146117,PAR-Respiration,PAR-Respiration,chartevents,Routine Vital Signs,,Text,,,4.0,0
228231,4482,0.06124540522813299,PAR-Consciousness,PAR-Consciousness,chartevents,Routine Vital Signs,,Text,,,4.0,0
228230,4467,0.06104043399242973,PAR-Circulation,PAR-Circulation,chartevents,Routine Vital Signs,,Text,,,3.0,0
229689,4443,0.06071248001530452,CPOT-Pain Assessment Method,CPOT-Pain Assessment Method,chartevents,Pain/Sedation,,Text,,,2.0,0
228232,4413,0.060302537543898006,PAR-Oxygen saturation,PAR-Oxygen saturation,chartevents,Routine Vital Signs,,Text,,,3.0,0
227585,4402,0.06015222530438229,GI Guaiac,GI Guaiac,chartevents,GI/GU,,Text,,,3.0,0
227752,4393,0.060029242562960335,Cordis/Introducer Placement Confirmed by X-ray,Cordis/Introducer Placement Confirmed by X-ray,chartevents,Access Lines - Invasive,,Text,,,3.0,0
224121,4387,0.059947254068679026,22 Gauge Reason Discontinued,22 Gauge Reason Discontinued,chartevents,Access Lines - Peripheral,,Text,,,5.0,0
224924,4381,0.059865265574397725,Impaired Skin Odor #3,Odor #3,chartevents,Skin - Impairment,,Checkbox,,,,0
228723,4352,0.0594689878520381,Pressure ulcer #1- Length,Pressure ulcer #1- Length,chartevents,Skin - Impairment,cm,Numeric,,,,0
224632,4340,0.05930501086347549,Tunneling Present #1,Tunneling Present #1,chartevents,Skin - Impairment,,Text,,,3.0,0
224043,4338,0.059277681365381724,Incision Cleansing #1,Incision Cleansing #1,chartevents,Skin - Incisions,,Text,,,4.0,0
228993,4325,0.05910003962777224,Discharge NCP - Expected outcomes,Discharge NCP - Expected outcomes,chartevents,Care Plans,,Text,,,4.0,0
228620,4305,0.05882674464683456,Pressure Ulcer #1- Width,Pressure Ulcer #1-  Width,chartevents,Skin - Impairment,cm,Numeric,,,,0
224106,4282,0.058512455418756236,Cooling Device,Cooling Device,chartevents,Treatments,,Text,,,7.0,0
228997,4274,0.05840313742638117,Discharge NCP - Interventions,Discharge NCP - Interventions,chartevents,Care Plans,,Text,,,8.0,0
229698,4271,0.05836214317924052,CPOT-Facial Expression (CPOTb),Facial Expression,chartevents,Pain/Sedation,,Text,,,3.0,0
229696,4266,0.05829381943400609,CPOT-Body Movements (CPOTb),Body Movements,chartevents,Pain/Sedation,,Text,,,3.0,0
228419,4263,0.05825282518686544,Compression device # 1,Compression device # 1,chartevents,Cardiovascular,,Text,,,2.0,0
229691,4257,0.05817083669258414,CPOT-Muscle Tension (CPOTb),Muscle Tension,chartevents,Pain/Sedation,,Text,,,3.0,0
227668,4245,0.058006859704021536,Side Rails_V2,Side Rails_V2,chartevents,Restraint/Support Systems,,Text,,,5.0,0
229695,4238,0.05791120646069335,CPOT-Vocalization (CPOTb),Vocalization,chartevents,Pain/Sedation,,Text,,,3.0,0
224888,4236,0.057883876962599584,Impaired Skin Cleanse #2,Site Cleanse #2,chartevents,Skin - Impairment,,Text,,,5.0,0
228519,4233,0.05784288271545893,Impaired Skin #2- Cleanse,Impaired Skin #2- Cleanse,chartevents,Skin - Impairment,,Text,,,3.0,0
223810,4191,0.057268963255489816,Paroxysmal Sweats,Paroxysmal Sweats,chartevents,Toxicology,,Text,,,8.0,0
223806,4188,0.05722796900834916,Tremor (CIWA),Tremor,chartevents,Toxicology,,Text,,,8.0,0
223805,4181,0.05713231576502097,Nausea and Vomiting (CIWA),Nausea and Vomiting,chartevents,Toxicology,,Text,,,8.0,0
223811,4180,0.05711865101597409,Anxiety,Anxiety,chartevents,Toxicology,,Text,,,8.0,0
223817,4180,0.05711865101597409,Agitation,Agitation,chartevents,Toxicology,,Text,,,8.0,0
220603,4169,0.05696833877645837,Cholesterol,Cholesterol,chartevents,Labs,None,Numeric,,,,1
223824,4152,0.05673603804266135,Seizure,Seizure,chartevents,Toxicology,,Text,,,2.0,0
223814,4147,0.056667714297426924,Auditory Disturbance,Auditory Disturbance,chartevents,Toxicology,,Text,,,8.0,0
223818,4147,0.056667714297426924,Tactile Disturbances,Tactile Disturbances,chartevents,Toxicology,,Text,,,8.0,0
223819,4144,0.056626720050286274,Visual Disturbances,Visual Disturbances,chartevents,Toxicology,,Text,,,8.0,0
223820,4142,0.056599390552192506,Headache,Headache,chartevents,Toxicology,,Text,,,8.0,0
225722,4129,0.05642174881458302,Arterial Line Tip Cultured,Arterial Line Tip Cultured,chartevents,Access Lines - Invasive,,Checkbox,,,,0
228783,4105,0.05609379483745781,Pressure ulcer #1- Cleanse,Pressure ulcer #1- Cleanse,chartevents,Skin - Impairment,,Text,,,3.0,0
223823,4104,0.05608013008841092,Insomnia,Insomnia,chartevents,Toxicology,,Text,,,2.0,0
223821,4103,0.05606646533936404,Orient/Clouding Sensory,Orient/Clouding Sensory,chartevents,Toxicology,,Text,,,5.0,0
229097,4079,0.055738511362238834,Discharge NCP - Problem resolved,Discharge NCP - Problem resolved,chartevents,Care Plans,,Text,,,2.0,0
229096,4073,0.05565652286795753,Discharge NCP - Plan revised,Discharge NCP - Plan revised,chartevents,Care Plans,,Text,,,2.0,0
228561,4043,0.05524658039655102,Incision #3- Location,Incision #3- Location,chartevents,Skin - Incisions,,Text,,,87.0,0
229324,4030,0.05506893865894153,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,chartevents,Pain/Sedation,,Text,,,2.0,0
225052,4030,0.05506893865894153,Cooling Device Status,Cooling Device Status,chartevents,Treatments,,Text,,,2.0,0
220624,4001,0.0546726609365819,HDL,HDL,chartevents,Labs,None,Numeric,,,,0
228573,3980,0.05438570120659734,Incision #3- Treatment,Incision #3- Treatment,chartevents,Skin - Incisions,,Text,,,33.0,0
224916,3934,0.053757122750440686,Impaired Skin Length #2,Site Length #2,chartevents,Skin - Impairment,cm,Numeric,,,,0
227516,3900,0.05329252128284664,PO2 (Mixed Venous),PO2 (Mixed Venous),chartevents,Labs,mmHg,Numeric,,,,0
228498,3879,0.05300556155286208,Impaired Skin #3- Location,Impaired Skin #3- Location,chartevents,Skin - Impairment,,Text,,,95.0,0
225019,3861,0.05275959607001817,Incision Drainage Amount #3,Incision Drainage Amount #3,chartevents,Skin - Incisions,,Text,,,7.0,0
228596,3854,0.052663942826689986,Incision #3- Dressing Status,Incision #3- Dressing Status,chartevents,Skin - Incisions,,Text,,,5.0,0
225671,3827,0.05229499460242413,LDL calculated,LDL calculated,chartevents,Labs,None,Numeric,,,,0
224788,3810,0.0520626938686271,GI #2 Tube Type,GI #2 Tube Type,chartevents,GI/GU,,Text,,,9.0,0
223825,3809,0.05204902911958022,Sustained Nystagmus,Sustained Nystagmus,chartevents,Toxicology,,Text,,,2.0,0
223829,3796,0.05187138738197073,Drowsiness,Drowsiness,chartevents,Toxicology,,Text,,,2.0,0
224631,3794,0.051844057883876964,Pressure Ulcer Stage #1,Pressure Ulcer Stage #1,chartevents,Skin - Impairment,,Text,,,8.0,0
223828,3791,0.05180306363673631,Slurred Speech,Slurred Speech,chartevents,Toxicology,,Text,,,2.0,0
224441,3783,0.051693745644361244,GI #2 Intub Site,GI #2 Intub Site,chartevents,GI/GU,,Text,,,5.0,0
228833,3781,0.05166641614626748,Pressure ulcer #1- Tunneling present,Pressure ulcer #1- Tunneling present,chartevents,Skin - Impairment,,Text,,,3.0,0
229703,3768,0.051488774408657983,CPOT-Pain Management,CPOT-Pain Management,chartevents,Pain/Sedation,,Text,,,15.0,0
224789,3757,0.051338462169142264,GI #2 Tube Status,GI #2 Tube Status,chartevents,GI/GU,,Text,,,5.0,0
